"","FIPS","tester"
"1","01001",1
"2","01005",1
"3","01007",1
"4","01009",1
"5","01011",1
"6","01013",1
"7","01017",1
"8","01019",1
"9","01021",1
"10","01023",1
"11","01025",1
"12","01027",1
"13","01029",1
"14","01031",1
"15","01033",1
"16","01035",1
"17","01037",1
"18","01039",1
"19","01041",1
"20","01043",1
"21","01045",1
"22","01047",1
"23","01049",1
"24","01051",1
"25","01053",1
"26","01055",1
"27","01057",1
"28","01059",1
"29","01061",1
"30","01063",1
"31","01065",1
"32","01067",1
"33","01069",1
"34","01071",1
"35","01073",1
"36","01075",1
"37","01077",1
"38","01079",1
"39","01081",1
"40","01083",1
"41","01085",1
"42","01087",1
"43","01089",1
"44","01091",1
"45","01093",1
"46","01095",1
"47","01099",1
"48","01101",1
"49","01103",1
"50","01105",1
"51","01107",1
"52","01109",1
"53","01111",1
"54","01113",1
"55","01115",1
"56","01117",1
"57","01119",1
"58","01121",1
"59","01123",1
"60","01125",1
"61","01127",1
"62","01129",1
"63","01131",1
"64","01133",1
"65","04001",1
"66","04003",1
"67","04005",1
"68","04007",1
"69","04009",1
"70","04011",1
"71","04012",1
"72","04013",1
"73","04015",1
"74","04017",1
"75","04019",1
"76","04021",1
"77","04023",1
"78","04025",1
"79","04027",1
"80","05001",1
"81","05003",1
"82","05005",1
"83","05007",1
"84","05009",1
"85","05011",1
"86","05015",1
"87","05017",1
"88","05019",1
"89","05021",1
"90","05023",1
"91","05025",1
"92","05027",1
"93","05029",1
"94","05031",1
"95","05033",1
"96","05035",1
"97","05037",1
"98","05039",1
"99","05041",1
"100","05043",1
"101","05045",1
"102","05047",1
"103","05049",1
"104","05051",1
"105","05053",1
"106","05055",1
"107","05057",1
"108","05059",1
"109","05061",1
"110","05063",1
"111","05065",1
"112","05067",1
"113","05069",1
"114","05071",1
"115","05073",1
"116","05075",1
"117","05077",1
"118","05079",1
"119","05081",1
"120","05083",1
"121","05085",1
"122","05087",1
"123","05089",1
"124","05091",1
"125","05093",1
"126","05095",1
"127","05097",1
"128","05099",1
"129","05101",1
"130","05103",1
"131","05105",1
"132","05107",1
"133","05109",1
"134","05111",1
"135","05113",1
"136","05115",1
"137","05117",1
"138","05119",1
"139","05121",1
"140","05123",1
"141","05125",1
"142","05127",1
"143","05129",1
"144","05131",1
"145","05133",1
"146","05135",1
"147","05137",1
"148","05139",1
"149","05141",1
"150","05143",1
"151","05145",1
"152","05147",1
"153","05149",1
"154","06001",1
"155","06003",1
"156","06005",1
"157","06007",1
"158","06009",1
"159","06011",1
"160","06015",1
"161","06017",1
"162","06019",1
"163","06021",1
"164","06025",1
"165","06027",1
"166","06029",1
"167","06031",1
"168","06033",1
"169","06035",1
"170","06037",1
"171","06039",1
"172","06043",1
"173","06045",1
"174","06047",1
"175","06049",1
"176","06051",1
"177","06053",1
"178","06055",1
"179","06057",1
"180","06061",1
"181","06063",1
"182","06065",1
"183","06067",1
"184","06069",1
"185","06071",1
"186","06077",1
"187","06079",1
"188","06081",1
"189","06085",1
"190","06087",1
"191","06089",1
"192","06091",1
"193","06093",1
"194","06095",1
"195","06097",1
"196","06099",1
"197","06101",1
"198","06103",1
"199","06105",1
"200","06107",1
"201","06109",1
"202","06113",1
"203","06115",1
"204","08001",1
"205","08003",1
"206","08005",1
"207","08007",1
"208","08009",1
"209","08011",1
"210","08013",1
"211","08014",1
"212","08015",1
"213","08017",1
"214","08019",1
"215","08021",1
"216","08023",1
"217","08025",1
"218","08027",1
"219","08029",1
"220","08031",1
"221","08033",1
"222","08035",1
"223","08037",1
"224","08039",1
"225","08041",1
"226","08043",1
"227","08045",1
"228","08047",1
"229","08049",1
"230","08051",1
"231","08053",1
"232","08055",1
"233","08057",1
"234","08059",1
"235","08061",1
"236","08063",1
"237","08065",1
"238","08067",1
"239","08069",1
"240","08071",1
"241","08073",1
"242","08075",1
"243","08077",1
"244","08079",1
"245","08081",1
"246","08083",1
"247","08085",1
"248","08087",1
"249","08089",1
"250","08091",1
"251","08093",1
"252","08095",1
"253","08097",1
"254","08099",1
"255","08101",1
"256","08103",1
"257","08105",1
"258","08107",1
"259","08109",1
"260","08113",1
"261","08115",1
"262","08117",1
"263","08119",1
"264","08121",1
"265","08123",1
"266","08125",1
"267","09003",1
"268","09005",1
"269","09009",1
"270","09013",1
"271","09015",1
"272","10001",1
"273","10005",1
"274","11001",1
"275","12001",1
"276","12003",1
"277","12007",1
"278","12019",1
"279","12023",1
"280","12027",1
"281","12033",1
"282","12039",1
"283","12041",1
"284","12043",1
"285","12047",1
"286","12049",1
"287","12051",1
"288","12053",1
"289","12055",1
"290","12059",1
"291","12063",1
"292","12065",1
"293","12067",1
"294","12069",1
"295","12073",1
"296","12077",1
"297","12079",1
"298","12083",1
"299","12093",1
"300","12095",1
"301","12097",1
"302","12101",1
"303","12105",1
"304","12119",1
"305","12121",1
"306","12123",1
"307","12125",1
"308","12131",1
"309","12133",1
"310","13001",1
"311","13003",1
"312","13005",1
"313","13007",1
"314","13009",1
"315","13011",1
"316","13013",1
"317","13015",1
"318","13017",1
"319","13019",1
"320","13021",1
"321","13023",1
"322","13025",1
"323","13027",1
"324","13029",1
"325","13031",1
"326","13033",1
"327","13035",1
"328","13043",1
"329","13045",1
"330","13047",1
"331","13049",1
"332","13053",1
"333","13055",1
"334","13057",1
"335","13059",1
"336","13061",1
"337","13063",1
"338","13065",1
"339","13067",1
"340","13069",1
"341","13071",1
"342","13073",1
"343","13075",1
"344","13077",1
"345","13079",1
"346","13081",1
"347","13083",1
"348","13085",1
"349","13087",1
"350","13089",1
"351","13091",1
"352","13093",1
"353","13095",1
"354","13097",1
"355","13099",1
"356","13101",1
"357","13103",1
"358","13105",1
"359","13107",1
"360","13109",1
"361","13111",1
"362","13113",1
"363","13115",1
"364","13117",1
"365","13119",1
"366","13121",1
"367","13123",1
"368","13125",1
"369","13129",1
"370","13131",1
"371","13133",1
"372","13135",1
"373","13137",1
"374","13139",1
"375","13141",1
"376","13143",1
"377","13145",1
"378","13147",1
"379","13149",1
"380","13151",1
"381","13153",1
"382","13155",1
"383","13157",1
"384","13159",1
"385","13161",1
"386","13163",1
"387","13165",1
"388","13167",1
"389","13169",1
"390","13171",1
"391","13173",1
"392","13175",1
"393","13177",1
"394","13181",1
"395","13183",1
"396","13185",1
"397","13187",1
"398","13189",1
"399","13193",1
"400","13195",1
"401","13197",1
"402","13199",1
"403","13201",1
"404","13205",1
"405","13207",1
"406","13209",1
"407","13211",1
"408","13213",1
"409","13215",1
"410","13217",1
"411","13219",1
"412","13221",1
"413","13223",1
"414","13225",1
"415","13227",1
"416","13229",1
"417","13231",1
"418","13233",1
"419","13235",1
"420","13237",1
"421","13239",1
"422","13241",1
"423","13243",1
"424","13245",1
"425","13247",1
"426","13249",1
"427","13251",1
"428","13253",1
"429","13255",1
"430","13257",1
"431","13259",1
"432","13261",1
"433","13263",1
"434","13265",1
"435","13267",1
"436","13269",1
"437","13271",1
"438","13273",1
"439","13275",1
"440","13277",1
"441","13279",1
"442","13281",1
"443","13283",1
"444","13285",1
"445","13287",1
"446","13289",1
"447","13291",1
"448","13293",1
"449","13295",1
"450","13297",1
"451","13299",1
"452","13301",1
"453","13303",1
"454","13305",1
"455","13307",1
"456","13309",1
"457","13311",1
"458","13313",1
"459","13315",1
"460","13317",1
"461","13319",1
"462","13321",1
"463","15001",1
"464","16001",1
"465","16003",1
"466","16005",1
"467","16007",1
"468","16009",1
"469","16011",1
"470","16013",1
"471","16015",1
"472","16017",1
"473","16019",1
"474","16021",1
"475","16023",1
"476","16025",1
"477","16027",1
