"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Brent Burns",8600,"SJ@Nsh 09:00PM ET",5.277,"SJ"
"G","Thomas Greiss",8500,"TB@NYI 07:00PM ET",5.237,"NYI"
"G","Brian Elliott",8400,"Dal@StL 09:30PM ET",5.125,"StL"
"G","Ben Bishop",8300,"TB@NYI 07:00PM ET",4.952,"TB"
"LW","Jamie Benn",8300,"Dal@StL 09:30PM ET",4.623,"Dal"
"G","Pekka Rinne",8000,"SJ@Nsh 09:00PM ET",4.000,"Nsh"
"G","Martin Jones",8000,"SJ@Nsh 09:00PM ET",4.683,"SJ"
"G","Jaroslav Halak",7900,"TB@NYI 07:00PM ET",4.400,"NYI"
"RW","Vladimir Tarasenko",7900,"Dal@StL 09:30PM ET",4.244,"StL"
"G","Kari Lehtonen",7800,"Dal@StL 09:30PM ET",4.102,"Dal"
"C","John Tavares",7800,"TB@NYI 07:00PM ET",4.099,"NYI"
"RW","Joe Pavelski",7700,"SJ@Nsh 09:00PM ET",4.265,"SJ"
"G","Andrei Vasilevskiy",7700,"TB@NYI 07:00PM ET",3.848,"TB"
"G","Antti Niemi",7600,"Dal@StL 09:30PM ET",3.862,"Dal"
"G","Jake Allen",7500,"Dal@StL 09:30PM ET",4.698,"StL"
"RW","Tyler Seguin",7500,"Dal@StL 09:30PM ET",4.383,"Dal"
"RW","Nikita Kucherov",7500,"TB@NYI 07:00PM ET",3.680,"TB"
"G","Carter Hutton",7400,"SJ@Nsh 09:00PM ET",4.122,"Nsh"
"G","James Reimer",7200,"SJ@Nsh 09:00PM ET",4.425,"SJ"
"D","Roman Josi",7200,"SJ@Nsh 09:00PM ET",4.099,"Nsh"
"G","Jean-Francois Berube",7100,"TB@NYI 07:00PM ET",4.200,"NYI"
"D","Kevin Shattenkirk",6900,"Dal@StL 09:30PM ET",3.478,"StL"
"G","Anders Nilsson",6900,"Dal@StL 09:30PM ET",3.317,"StL"
"C","Steven Stamkos",6800,"TB@NYI 07:00PM ET",3.427,"TB"
"D","Shea Weber",6700,"SJ@Nsh 09:00PM ET",3.739,"Nsh"
"G","Christopher Gibson",6700,"TB@NYI 07:00PM ET",2.100,"NYI"
"LW","Filip Forsberg",6600,"SJ@Nsh 09:00PM ET",3.642,"Nsh"
"RW","James Neal",6500,"SJ@Nsh 09:00PM ET",3.595,"Nsh"
"G","Kristers Gudlevskis",6500,"TB@NYI 07:00PM ET",5.200,"TB"
"D","Victor Hedman",6400,"TB@NYI 07:00PM ET",3.230,"TB"
"RW","Kyle Okposo",6300,"TB@NYI 07:00PM ET",3.449,"NYI"
"RW","Patrick Sharp",6200,"Dal@StL 09:30PM ET",3.251,"Dal"
"C","Jason Spezza",6200,"Dal@StL 09:30PM ET",3.731,"Dal"
"D","John Klingberg",6100,"Dal@StL 09:30PM ET",3.040,"Dal"
"C","Tyler Johnson",6100,"TB@NYI 07:00PM ET",2.659,"TB"
"C","Logan Couture",6000,"SJ@Nsh 09:00PM ET",3.418,"SJ"
"G","Jack Campbell",6000,"Dal@StL 09:30PM ET",0,"Dal"
"G","John Muse",6000,"Dal@StL 09:30PM ET",0,"Dal"
"G","Jordan Binnington",6000,"Dal@StL 09:30PM ET",-0.400,"StL"
"G","Adam Wilcox",6000,"TB@NYI 07:00PM ET",0,"TB"
"G","Marek Mazanec",6000,"SJ@Nsh 09:00PM ET",0,"Nsh"
"G","Troy Grosenick",6000,"SJ@Nsh 09:00PM ET",0,"SJ"
"G","Juuse Saros",6000,"SJ@Nsh 09:00PM ET",1.000,"Nsh"
"G","Pheonix Copley",6000,"Dal@StL 09:30PM ET",0.000,"StL"
"G","Aaron Dell",6000,"SJ@Nsh 09:00PM ET",0,"SJ"
"D","Alex Pietrangelo",5900,"Dal@StL 09:30PM ET",3.396,"StL"
"C","Joe Thornton",5800,"SJ@Nsh 09:00PM ET",3.129,"SJ"
"LW","Alexander Steen",5700,"Dal@StL 09:30PM ET",3.307,"StL"
"C","Patrick Marleau",5600,"SJ@Nsh 09:00PM ET",2.978,"SJ"
"C","Ryan Johansen",5500,"SJ@Nsh 09:00PM ET",3.010,"Nsh"
"D","Johnny Boychuk",5400,"TB@NYI 07:00PM ET",2.848,"NYI"
"C","Frans Nielsen",5400,"TB@NYI 07:00PM ET",3.220,"NYI"
"LW","Alex Killorn",5400,"TB@NYI 07:00PM ET",2.315,"TB"
"D","Alex Goligoski",5300,"Dal@StL 09:30PM ET",2.778,"Dal"
"LW","Jaden Schwartz",5300,"Dal@StL 09:30PM ET",3.024,"StL"
"LW","Ondrej Palat",5200,"TB@NYI 07:00PM ET",2.664,"TB"
"LW","Tomas Hertl",5200,"SJ@Nsh 09:00PM ET",2.960,"SJ"
"D","Colton Parayko",5100,"Dal@StL 09:30PM ET",2.795,"StL"
"RW","David Backes",5000,"Dal@StL 09:30PM ET",2.786,"StL"
"D","Marc-Edouard Vlasic",4900,"SJ@Nsh 09:00PM ET",2.943,"SJ"
"D","Anton Stralman",4800,"TB@NYI 07:00PM ET",2.185,"TB"
"C","Paul Stastny",4700,"Dal@StL 09:30PM ET",2.615,"StL"
"D","Nick Leddy",4700,"TB@NYI 07:00PM ET",2.306,"NYI"
"RW","Craig Smith",4600,"SJ@Nsh 09:00PM ET",2.482,"Nsh"
"RW","Ryan Callahan",4500,"TB@NYI 07:00PM ET",2.302,"TB"
"D","Ryan Ellis",4500,"SJ@Nsh 09:00PM ET",2.483,"Nsh"
"RW","Jonathan Drouin",4500,"TB@NYI 07:00PM ET",1.736,"TB"
"D","Kris Russell",4400,"Dal@StL 09:30PM ET",2.712,"Dal"
"D","Travis Hamonic",4400,"TB@NYI 07:00PM ET",2.446,"NYI"
"C","Brock Nelson",4300,"TB@NYI 07:00PM ET",2.702,"NYI"
"D","Mattias Ekholm",4300,"SJ@Nsh 09:00PM ET",2.368,"Nsh"
"RW","Ales Hemsky",4200,"Dal@StL 09:30PM ET",2.464,"Dal"
"LW","Robby Fabbri",4200,"Dal@StL 09:30PM ET",2.101,"StL"
"RW","Joel Ward",4100,"SJ@Nsh 09:00PM ET",2.640,"SJ"
"D","Jason Garrison",4100,"TB@NYI 07:00PM ET",1.880,"TB"
"D","Calvin de Haan",4100,"TB@NYI 07:00PM ET",2.422,"NYI"
"C","Cody Eakin",4100,"Dal@StL 09:30PM ET",2.250,"Dal"
"RW","Patrick Eaves",4000,"Dal@StL 09:30PM ET",1.846,"Dal"
"C","Jori Lehtera",4000,"Dal@StL 09:30PM ET",1.676,"StL"
"RW","Anders Lee",4000,"TB@NYI 07:00PM ET",2.205,"NYI"
"RW","Troy Brouwer",3900,"Dal@StL 09:30PM ET",2.334,"StL"
"RW","Ryan Strome",3900,"TB@NYI 07:00PM ET",1.925,"NYI"
"C","Mike Ribeiro",3800,"SJ@Nsh 09:00PM ET",1.822,"Nsh"
"C","Patrik Berglund",3800,"Dal@StL 09:30PM ET",2.155,"StL"
"D","Johnny Oduya",3800,"Dal@StL 09:30PM ET",2.028,"Dal"
"C","Mike Fisher",3700,"SJ@Nsh 09:00PM ET",2.108,"Nsh"
"D","Jay Bouwmeester",3700,"Dal@StL 09:30PM ET",2.000,"StL"
"LW","Joonas Donskoi",3700,"SJ@Nsh 09:00PM ET",2.087,"SJ"
"D","Thomas Hickey",3600,"TB@NYI 07:00PM ET",1.964,"NYI"
"D","Jason Demers",3600,"Dal@StL 09:30PM ET",2.026,"Dal"
"C","Valtteri Filppula",3500,"TB@NYI 07:00PM ET",1.737,"TB"
"D","Justin Braun",3500,"SJ@Nsh 09:00PM ET",2.178,"SJ"
"LW","Calle Jarnkrok",3500,"SJ@Nsh 09:00PM ET",1.767,"Nsh"
"LW","Alan Quine",3400,"TB@NYI 07:00PM ET",2.750,"NYI"
"RW","Valeri Nichushkin",3400,"Dal@StL 09:30PM ET",1.793,"Dal"
"LW","Mattias Janmark",3400,"Dal@StL 09:30PM ET",1.880,"Dal"
"LW","Antoine Roussel",3300,"Dal@StL 09:30PM ET",1.893,"Dal"
"C","Vladislav Namestnikov",3300,"TB@NYI 07:00PM ET",1.847,"TB"
"C","Radek Faksa",3300,"Dal@StL 09:30PM ET",1.840,"Dal"
"RW","Viktor Arvidsson",3300,"SJ@Nsh 09:00PM ET",2.091,"Nsh"
"D","Roman Polak",3200,"SJ@Nsh 09:00PM ET",1.868,"SJ"
"LW","Colin Wilson",3200,"SJ@Nsh 09:00PM ET",1.947,"Nsh"
"RW","Colton Sceviour",3200,"Dal@StL 09:30PM ET",1.988,"Dal"
"D","Nikita Nesterov",3200,"TB@NYI 07:00PM ET",1.007,"TB"
"LW","Nikolay Kulemin",3100,"TB@NYI 07:00PM ET",1.539,"NYI"
"RW","Tommy Wingels",3100,"SJ@Nsh 09:00PM ET",1.867,"SJ"
"LW","Shane Prince",3100,"TB@NYI 07:00PM ET",1.434,"NYI"
