"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"F","Cris Cyborg",11600,"Cyborg@Smith 10:00PM ET",0,"Cyborg"
"F","Thiago Santos",10900,"Marquardt@Santos 06:30PM ET",66.500,"Santos"
"F","Warlley Alves",10800,"Alves@Barberena 10:00PM ET",76.875,"Alves"
"F","Sergio Moraes",10700,"Chagas@Moraes 06:30PM ET",63.900,"Moraes"
"F","Jacare Souza",10600,"Belfort@Souza 10:00PM ET",79.167,"Souza"
"F","Demian Maia",10500,"Brown@Maia 06:30PM ET",60.386,"Maia"
"F","Zubaira Tukhugov",10400,"Moicano@Tukhugov 06:30PM ET",68.667,"Tukhugov"
"F","Fabricio Werdum",10300,"Miocic@Werdum 10:00PM ET",78.200,"Werdum"
"F","Corey Anderson",10200,"Anderson@Rua 10:00PM ET",74.083,"Anderson"
"F","Francisco Trinaldo",10000,"Medeiros@Trinaldo 06:30PM ET",60.417,"Trinaldo"
"F","Anderson Silva",9900,"Cancelled",81.000,"Silva"
"F","Patrick Cummins",9800,"Cummins@Nogueira 06:30PM ET",54.929,"Cummins"
"F","John Lineker",9700,"Font@Lineker 06:30PM ET",79.778,"Lineker"
"F","Rob Font",9700,"Font@Lineker 06:30PM ET",105.000,"Font"
"F","Antonio Rogerio Nogueira",9600,"Cummins@Nogueira 06:30PM ET",47.625,"Nogueira"
"F","Uriah Hall",9500,"Cancelled",63.611,"Hall"
"F","Yancy Medeiros",9400,"Medeiros@Trinaldo 06:30PM ET",41.857,"Medeiros"
"F","Mauricio Rua",9200,"Anderson@Rua 10:00PM ET",58.400,"Rua"
"F","Stipe Miocic",9100,"Miocic@Werdum 10:00PM ET",81.500,"Miocic"
"F","Renato Moicano",9000,"Moicano@Tukhugov 06:30PM ET",99.000,"Moicano"
"F","Matt Brown",8900,"Brown@Maia 06:30PM ET",66.000,"Brown"
"F","Vitor Belfort",8800,"Belfort@Souza 10:00PM ET",73.333,"Belfort"
"F","Luan Chagas",8700,"Chagas@Moraes 06:30PM ET",0,"Chagas"
"F","Bryan Barberena",8600,"Alves@Barberena 10:00PM ET",73.167,"Barberena"
"F","Nate Marquardt",8500,"Marquardt@Santos 06:30PM ET",55.875,"Marquardt"
"F","Leslie Smith",7800,"Cyborg@Smith 10:00PM ET",57.625,"Smith"
