Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
D,Jimmie Johnson,10200,Nasca@Nasca 01:00PM ET,44.25,Nasca
D,Kyle Busch,10000,Nasca@Nasca 01:00PM ET,65.308,Nasca
D,Kevin Harvick,9900,Nasca@Nasca 01:00PM ET,71.75,Nasca
D,Matt Kenseth,9600,Nasca@Nasca 01:00PM ET,31.635,Nasca
D,Carl Edwards,9400,Nasca@Nasca 01:00PM ET,59.731,Nasca
D,Martin Truex Jr,9200,Nasca@Nasca 01:00PM ET,46.077,Nasca
D,Joey Logano,9100,Nasca@Nasca 01:00PM ET,38.135,Nasca
D,Dale Earnhardt Jr,8900,Nasca@Nasca 01:00PM ET,42.5,Nasca
D,Kurt Busch,8600,Nasca@Nasca 01:00PM ET,45.846,Nasca
D,Brad Keselowski,8400,Nasca@Nasca 01:00PM ET,39.923,Nasca
D,Chase Elliott,8200,Nasca@Nasca 01:00PM ET,33.375,Nasca
D,Kasey Kahne,8000,Nasca@Nasca 01:00PM ET,24.538,Nasca
D,Denny Hamlin,7800,Nasca@Nasca 01:00PM ET,27.981,Nasca
D,Austin Dillon,7600,Nasca@Nasca 01:00PM ET,32.942,Nasca
D,Kyle Larson,7400,Nasca@Nasca 01:00PM ET,23.442,Nasca
D,Jamie McMurray,7100,Nasca@Nasca 01:00PM ET,32.346,Nasca
D,Tony Stewart,6900,Nasca@Nasca 01:00PM ET,37,Nasca
D,Ryan Newman,6800,Nasca@Nasca 01:00PM ET,23.423,Nasca
D,Ryan Blaney,6700,Nasca@Nasca 01:00PM ET,26.542,Nasca
D,Ricky Stenhouse Jr,6500,Nasca@Nasca 01:00PM ET,24.077,Nasca
D,AJ Allmendinger,6400,Nasca@Nasca 01:00PM ET,31.712,Nasca
D,Greg Biffle,6300,Nasca@Nasca 01:00PM ET,21.308,Nasca
D,Aric Almirola,6200,Nasca@Nasca 01:00PM ET,21.442,Nasca
D,Paul Menard,6100,Nasca@Nasca 01:00PM ET,21.692,Nasca
D,Trevor Bayne,6000,Nasca@Nasca 01:00PM ET,24.979,Nasca
D,Clint Bowyer,5900,Nasca@Nasca 01:00PM ET,27.846,Nasca
D,Danica Patrick,5700,Nasca@Nasca 01:00PM ET,25.635,Nasca
D,Casey Mears,5600,Nasca@Nasca 01:00PM ET,18.577,Nasca
D,Landon Cassill,5500,Nasca@Nasca 01:00PM ET,27.583,Nasca
D,Matt DiBenedetto,5400,Nasca@Nasca 01:00PM ET,20.104,Nasca
D,Regan Smith,5300,Nasca@Nasca 01:00PM ET,20.208,Nasca
D,Brian Scott,5200,Nasca@Nasca 01:00PM ET,18.146,Nasca
D,David Ragan,5100,Nasca@Nasca 01:00PM ET,19.229,Nasca
D,Michael McDowell,5000,Nasca@Nasca 01:00PM ET,23.409,Nasca
D,Chris Buescher,4900,Nasca@Nasca 01:00PM ET,14.25,Nasca
D,Michael Annett,4800,Nasca@Nasca 01:00PM ET,18.604,Nasca
D,Cole Whitt,4700,Nasca@Nasca 01:00PM ET,17.35,Nasca
D,Josh Wise,4600,Nasca@Nasca 01:00PM ET,9.85,Nasca
D,Reed Sorenson,4500,Nasca@Nasca 01:00PM ET,9.286,Nasca
D,Jeffrey Earnhardt,4500,Nasca@Nasca 01:00PM ET,12.583,Nasca
