Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PF,Draymond Green,11800,Por@GS 10:30PM ET,43.544,GS
PG,Damian Lillard,9800,Por@GS 10:30PM ET,43.194,Por
PG,Stephen Curry,9700,Por@GS 10:30PM ET,52.305,GS
SG,Klay Thompson,9000,Por@GS 10:30PM ET,34.275,GS
SG,Dwyane Wade,8300,Mia@Tor 08:00PM ET,33.735,Mia
PG,Kyle Lowry,7500,Mia@Tor 08:00PM ET,40.901,Tor
C,Hassan Whiteside,7400,Mia@Tor 08:00PM ET,37.681,Mia
SG,DeMar DeRozan,7300,Mia@Tor 08:00PM ET,35.986,Tor
SG,C.J. McCollum,6900,Por@GS 10:30PM ET,33.958,Por
C,Jonas Valanciunas,6800,Mia@Tor 08:00PM ET,29.7,Tor
PG,Goran Dragic,6400,Mia@Tor 08:00PM ET,29.163,Mia
PF,Luol Deng,6200,Mia@Tor 08:00PM ET,26.147,Mia
PF,Chris Bosh,6000,Mia@Tor 08:00PM ET,34.972,Mia
SF,Al-Farouq Aminu,6000,Por@GS 10:30PM ET,24.503,Por
PG,Shaun Livingston,5800,Por@GS 10:30PM ET,16.175,GS
C,Mason Plumlee,5600,Por@GS 10:30PM ET,26.663,Por
SF,Joe Johnson,5100,Mia@Tor 08:00PM ET,24.041,Mia
SF,Andre Iguodala,4800,Por@GS 10:30PM ET,20.074,GS
SF,DeMarre Carroll,4700,Mia@Tor 08:00PM ET,21.669,Tor
SF,Harrison Barnes,4500,Por@GS 10:30PM ET,21.9,GS
C,Bismack Biyombo,4400,Mia@Tor 08:00PM ET,19.239,Tor
C,Andrew Bogut,4300,Por@GS 10:30PM ET,21.38,GS
PF,Ed Davis,4200,Por@GS 10:30PM ET,19.909,Por
SF,Maurice Harkless,4000,Por@GS 10:30PM ET,15.003,Por
SG,Allen Crabbe,3800,Por@GS 10:30PM ET,17.481,Por
PF,Patrick Patterson,3500,Mia@Tor 08:00PM ET,16.219,Tor
SG,Gerald Henderson,3400,Por@GS 10:30PM ET,15.436,Por
PG,Cory Joseph,3300,Mia@Tor 08:00PM ET,18.008,Tor
PF,Udonis Haslem,3000,Mia@Tor 08:00PM ET,5.472,Mia
PF,Josh McRoberts,2900,Mia@Tor 08:00PM ET,10.337,Mia
SG,Josh Richardson,2800,Mia@Tor 08:00PM ET,14.06,Mia
SF,Justise Winslow,2700,Mia@Tor 08:00PM ET,16.767,Mia
SG,Terrence Ross,2600,Mia@Tor 08:00PM ET,16.339,Tor
SG,Norman Powell,2300,Mia@Tor 08:00PM ET,11.183,Tor
C,Amar'e Stoudemire,2200,Mia@Tor 08:00PM ET,12.875,Mia
PG,Leandro Barbosa,2200,Por@GS 10:30PM ET,11.672,GS
SG,Gerald Green,2200,Mia@Tor 08:00PM ET,13.972,Mia
C,Marreese Speights,2200,Por@GS 10:30PM ET,13.676,GS
C,Chris Kaman,2100,Por@GS 10:30PM ET,5.595,Por
PF,Luis Scola,2100,Mia@Tor 08:00PM ET,17.148,Tor
SF,Dorell Wright,2100,Mia@Tor 08:00PM ET,6.063,Mia
C,Anderson Varejao,2100,Por@GS 10:30PM ET,7.579,GS
PG,Brian Roberts,2100,Por@GS 10:30PM ET,6.071,Por
PF,Jason Thompson,2100,Mia@Tor 08:00PM ET,8.47,Tor
SG,Brandon Rush,2100,Por@GS 10:30PM ET,9.673,GS
SF,James Johnson,2100,Mia@Tor 08:00PM ET,11.131,Tor
C,Festus Ezeli,2100,Por@GS 10:30PM ET,16.551,GS
SG,Ian Clark,2100,Por@GS 10:30PM ET,7.37,GS
C,Meyers Leonard,2100,Por@GS 10:30PM ET,18.098,Por
SG,Tyler Johnson,2100,Mia@Tor 08:00PM ET,17.013,Mia
SF,Pat Connaughton,2100,Por@GS 10:30PM ET,2.569,Por
PF,James Michael McAdoo,2100,Por@GS 10:30PM ET,5.663,GS
PG,Briante Weber,2100,Mia@Tor 08:00PM ET,12.972,Mia
C,Lucas Nogueira,2100,Mia@Tor 08:00PM ET,6.142,Tor
PG,Delon Wright,2100,Mia@Tor 08:00PM ET,6.952,Tor
PF,Noah Vonleh,2100,Por@GS 10:30PM ET,9.616,Por
SF,Bruno Caboclo,2100,Mia@Tor 08:00PM ET,1.917,Tor
PF,Cliff Alexander,2100,Por@GS 10:30PM ET,2.875,Por
PF,Kevon Looney,2100,Por@GS 10:30PM ET,4.3,GS
SF,Luis Montero,2100,Por@GS 10:30PM ET,1.556,Por
