"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Rory McIlroy",12800,"Golf@Golf 07:00AM ET",75.929,"Golf"
"G","Rickie Fowler",10900,"Golf@Golf 07:00AM ET",80.409,"Golf"
"G","Adam Scott",10600,"Golf@Golf 07:00AM ET",96.889,"Golf"
"G","Dustin Johnson",10400,"Golf@Golf 07:00AM ET",89.667,"Golf"
"G","Henrik Stenson",10200,"Golf@Golf 07:00AM ET",83.143,"Golf"
"G","Justin Rose",10000,"Golf@Golf 07:00AM ET",73.000,"Golf"
"G","Patrick Reed",9700,"Golf@Golf 07:00AM ET",81.462,"Golf"
"G","Phil Mickelson",9500,"Golf@Golf 07:00AM ET",70.167,"Golf"
"G","Hideki Matsuyama",9300,"Golf@Golf 07:00AM ET",72.227,"Golf"
"G","J.B. Holmes",9100,"Golf@Golf 07:00AM ET",79.056,"Golf"
"G","Paul Casey",8900,"Golf@Golf 07:00AM ET",70.450,"Golf"
"G","Byeong-Hun An",8600,"Golf@Golf 07:00AM ET",65.500,"Golf"
"G","Daniel Berger",8400,"Golf@Golf 07:00AM ET",61.731,"Golf"
"G","Bill Haas",8200,"Golf@Golf 07:00AM ET",70.409,"Golf"
"G","Charles Howell III",8100,"Golf@Golf 07:00AM ET",73.625,"Golf"
"G","Kevin Kisner",8100,"Golf@Golf 07:00AM ET",74.625,"Golf"
"G","Jim Furyk",8000,"Golf@Golf 07:00AM ET",0.000,"Golf"
"G","Justin Thomas",8000,"Golf@Golf 07:00AM ET",70.923,"Golf"
"G","Webb Simpson",7900,"Golf@Golf 07:00AM ET",60.056,"Golf"
"G","Jamie Lovemark",7900,"Golf@Golf 07:00AM ET",65.188,"Golf"
"G","Kevin Chappell",7900,"Golf@Golf 07:00AM ET",65.423,"Golf"
"G","Gary Woodland",7800,"Golf@Golf 07:00AM ET",64.909,"Golf"
"G","Shane Lowry",7800,"Golf@Golf 07:00AM ET",60.000,"Golf"
"G","Bryson DeChambeau",7800,"Golf@Golf 07:00AM ET",61.625,"Golf"
"G","Patton Kizzire",7700,"Golf@Golf 07:00AM ET",65.214,"Golf"
"G","Emiliano Grillo",7700,"Golf@Golf 07:00AM ET",65.545,"Golf"
"G","Patrick Rodgers",7700,"Golf@Golf 07:00AM ET",56.367,"Golf"
"G","Tony Finau",7600,"Golf@Golf 07:00AM ET",58.571,"Golf"
"G","Danny Lee",7600,"Golf@Golf 07:00AM ET",56.393,"Golf"
"G","Smylie Kaufman",7600,"Golf@Golf 07:00AM ET",69.067,"Golf"
"G","Ryan Moore",7500,"Golf@Golf 07:00AM ET",67.944,"Golf"
"G","Kevin Streelman",7500,"Golf@Golf 07:00AM ET",54.107,"Golf"
"G","Scott Brown",7500,"Golf@Golf 07:00AM ET",60.781,"Golf"
"G","Martin Kaymer",7400,"Golf@Golf 07:00AM ET",51.125,"Golf"
"G","Graham DeLaet",7400,"Golf@Golf 07:00AM ET",63.269,"Golf"
"G","Robert Streb",7400,"Golf@Golf 07:00AM ET",48.321,"Golf"
