"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"M","Dimitri Payet",8400,"SWA@WHU 10:00AM ET",19.696,"WHU"
"M"," Willian",7300,"CHE@SUN 10:00AM ET",15.613,"CHE"
"M","Riyad Mahrez",7100,"EVE@LEI 12:30PM ET",16.457,"LEI"
"F","Jamie Vardy",7000,"EVE@LEI 12:30PM ET",14.500,"LEI"
"F","Diego Costa",6800,"CHE@SUN 10:00AM ET",10.057,"CHE"
"M","Gylfi Sigurdsson",6800,"SWA@WHU 10:00AM ET",12.875,"SWA"
"M","Andros Townsend",6600,"NEW@AVL 10:00AM ET",13.433,"NEW"
"M","Marc Albrighton",6500,"EVE@LEI 12:30PM ET",12.944,"LEI"
"F","Romelu Lukaku",6500,"EVE@LEI 12:30PM ET",11.721,"EVE"
"M","Yannick Bolasie",6400,"STK@CRY 10:00AM ET",12.520,"CRY"
"M","Matt Ritchie",6400,"WBA@BOU 10:00AM ET",12.886,"BOU"
"M","Xherdan Shaqiri",6000,"STK@CRY 10:00AM ET",12.038,"STK"
"M","Ross Barkley",6000,"EVE@LEI 12:30PM ET",12.471,"EVE"
"M","Yohan Cabaye",5800,"STK@CRY 10:00AM ET",13.469,"CRY"
"M","Eden Hazard",5500,"CHE@SUN 10:00AM ET",6.944,"CHE"
"M","Wahbi Khazri",5500,"CHE@SUN 10:00AM ET",11.458,"SUN"
"F","Gerard Deulofeu",5500,"EVE@LEI 12:30PM ET",9.942,"EVE"
"M","Cesc Fabregas",5400,"CHE@SUN 10:00AM ET",9.463,"CHE"
"F","Marko Arnautovic",5400,"STK@CRY 10:00AM ET",10.250,"STK"
"F","Jermain Defoe",5300,"CHE@SUN 10:00AM ET",9.919,"SUN"
"F","Andy Carroll",5200,"SWA@WHU 10:00AM ET",7.750,"WHU"
"M","James McClean",5200,"WBA@BOU 10:00AM ET",10.121,"WBA"
"F"," Pedro",5100,"CHE@SUN 10:00AM ET",9.500,"CHE"
"M","Junior Stanislas",5100,"WBA@BOU 10:00AM ET",10.850,"BOU"
"M","Michail Antonio",5000,"SWA@WHU 10:00AM ET",10.354,"WHU"
"D","Leighton Baines",4800,"EVE@LEI 12:30PM ET",10.467,"EVE"
"F","Leonardo Ulloa",4800,"EVE@LEI 12:30PM ET",5.375,"LEI"
"M"," Oscar",4800,"CHE@SUN 10:00AM ET",8.682,"CHE"
"M","Craig Gardner",4700,"WBA@BOU 10:00AM ET",8.172,"WBA"
"D","Christian Fuchs",4700,"EVE@LEI 12:30PM ET",10.500,"LEI"
"M","Andre Ayew",4700,"SWA@WHU 10:00AM ET",9.922,"SWA"
"F","Max Gradel",4700,"WBA@BOU 10:00AM ET",10.250,"BOU"
"F","Fabio Borini",4600,"CHE@SUN 10:00AM ET",8.000,"SUN"
"M","Wilfried Zaha",4600,"STK@CRY 10:00AM ET",8.853,"CRY"
"F","Aleksandar Mitrovic",4600,"NEW@AVL 10:00AM ET",7.406,"NEW"
"M","Moussa Sissoko",4500,"NEW@AVL 10:00AM ET",8.100,"NEW"
"F","Ayoze Perez",4500,"NEW@AVL 10:00AM ET",8.439,"NEW"
"M","Jason Puncheon",4400,"STK@CRY 10:00AM ET",10.086,"CRY"
"GK"," Adrian",4400,"SWA@WHU 10:00AM ET",7.297,"WHU"
"F","Joshua King",4400,"WBA@BOU 10:00AM ET",6.966,"BOU"
"M","Jonjo Shelvey",4300,"NEW@AVL 10:00AM ET",8.883,"NEW"
"GK","Karl Darlow",4300,"NEW@AVL 10:00AM ET",6.143,"NEW"
"F","Shinji Okazaki",4300,"EVE@LEI 12:30PM ET",5.338,"LEI"
"F","Jordan Ayew",4300,"NEW@AVL 10:00AM ET",8.411,"AVL"
"M","Aaron Lennon",4200,"EVE@LEI 12:30PM ET",6.545,"EVE"
"M","Georginio Wijnaldum",4200,"NEW@AVL 10:00AM ET",8.639,"NEW"
"M","Bakary Sako",4200,"STK@CRY 10:00AM ET",9.395,"CRY"
"F","Alexandre Pato",4200,"CHE@SUN 10:00AM ET",9.500,"CHE"
"D","Craig Dawson",4200,"WBA@BOU 10:00AM ET",9.014,"WBA"
"M","Ashley Westwood",4200,"NEW@AVL 10:00AM ET",7.433,"AVL"
"F","Diafra Sakho",4200,"SWA@WHU 10:00AM ET",8.417,"WHU"
"M","Tom Cleverley",4100,"EVE@LEI 12:30PM ET",9.425,"EVE"
"D","Aaron Cresswell",4100,"SWA@WHU 10:00AM ET",8.662,"WHU"
"F","Callum Wilson",4100,"WBA@BOU 10:00AM ET",8.455,"BOU"
"D","Simon Francis",4000,"WBA@BOU 10:00AM ET",6.819,"BOU"
"GK","Kasper Schmeichel",4000,"EVE@LEI 12:30PM ET",8.361,"LEI"
"GK","Artur Boruc",4000,"WBA@BOU 10:00AM ET",4.371,"BOU"
