STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LO_OT,F_DB_L_O,DB_ST,F_DB_ST,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
AK,648733,R_12,648733,R_12,732298,R_12,84,R_12,16,R_12,1,R_12,58.53,R_12,111.29,R_12,195.10,R_12,306.39,R_12,30362572,R_12,701748,R_12,1263943,R_12,1393981,R_12,33722244,R_12,13761895,R_12,8395394,R_12,22157289,R_12,2077503,R_12,372941,R_12,634003,R_12,3084447,R_12,7630553,R_12,32872289,R_12,16154674,R_12,22131716,R_12,6483145,R_12,10993123,R_12,55762658,R_12,36498451,R_12,2429067,R_12,305084,R_12,119578,R_12,221276,R_12,253336,R_12,26,R_12,469,R_12,4116,R_12,4585,R_12,5750,R_12,152119,R_12,3358432,IF12,446946,R_12,443576,R_12,4604130,IF12,1684272,IF12,21823,IF12,20733,R_12,10963,IF12,7732,IF12,1146,U_12,244417,IF12,177733,IF12,16711,U_12,779,R_12,1041031,IF12,01/2011,R_12,06/2012,R_12,02,2013,08
AL,4779736,R_12,4779736,R_12,4779736,R_12,219,R_12,76,R_12,15,R_12,295.45,IF12,752.99,R_12,1041.77,R_12,1794.76,R_12,82283610,R_12,4361445,R_12,1082171,R_12,9259147,R_12,96986373,R_12,50852337,R_12,13153562,R_12,64005899,R_12,6732263,R_12,1366013,R_12,2564779,R_12,10663055,R_12,20198587,R_12,94867541,R_12,3760071,R_12,31348,R_12,183035,R_12,340091,R_12,4314545,R_12,2879453,R_12,9670575,R_12,890041,IF12,456556,R_12,132180,IF12,582587,R_12,279,IF12,868,R_12,15382,R_12,16250,R_12,9621,IF12,623239,R_12,17010830,IF12,4375988,IF12,2519236,IF12,20997336,R_12,6544410,R_12,288648,IF12,314949,R_12,35352,R_12,18967,R_12,3145,U_12,932723,R_12,615254,R_12,70904,U_12,5276,IF12,4624483,IF12,10/2011,R_12,09/2012,R_12,01,2013,05
AR,2791492,R_12,2643928,R_12,2915918,R_12,53,R_12,166,R_12,1,R_12,140.46,IF12,249.63,IF12,700.50,IF12,950.13,IF12,61288159,IF12,5241835,IF12,20163,IF12,3917521,IF12,70467678,IF12,31535710,IF12,8949616,IF12,40485326,IF12,6312453,IF12,1562040,IF12,1872446,IF12,9746939,IF12,17716050,IF12,67948315,IF12,3364582,IF12,119135,IF12,0,IF12,2311941,IF12,5795658,IF12,4962779,IF12,6515623,IF12,157444,IF12,238731,IF12,63722,IF12,494391,IF12,1109,IF12,480,IF12,4598,IF12,5078,IF12,8242,IF12,420404,IF12,10816729,IF12,2043178,IF12,1635503,IF12,14258573,IF12,3692106,IF12,40694,IF12,38954,IF12,33110,IF12,22132,IF12,2659,U_12,914329,IF12,652209,IF12,64969,U_12,2246,IF12,2218928,IF12,01/2012,R_12,12/2012,R_12,05,2013,05
AZ,6487674,R_12,6482505,R_12,6498569,R_12,86,R_12,135,R_12,9,R_12,478.13,IF12,577.66,IF12,1611.09,IF12,2188.75,IF12,169355906,IF12,1407313,IF12,1565000,IF12,6258592,IF12,178586811,IF12,76839394,IF12,27853151,IF12,104692545,IF12,14154482,IF12,4247217,IF12,5920620,IF12,24322319,IF12,46430442,IF12,175445306,IF12,13811284,IF12,22800,IF12,1046900,IF12,368627,IF12,15249611,IF12,12498032,IF12,8419356,IF12,2125526,IA12,658431,IF12,350035,IF12,946732,IF12,26138,IF12,876,IF12,3114,IF12,3990,IF12,15634,IF12,476941,IF12,28121005,IF12,4365109,IF12,3422112,IF12,50655828,IF12,16071828,IF12,277407,IF12,309729,IF12,61663,IF12,33617,IF12,5499,U_12,1284936,IF12,944384,IF12,91829,U_12,5296,IF12,6339315,IF12,07/2011,R_12,06/2012,R_12,04,2013,06
CA,37678127,R_12,37678127,R_12,37678563,R_12,165,R_12,938,R_12,56,R_12,2915.48,IF12,3096.92,IF12,8078.98,IF12,11175.90,IF12,1144265792,IF12,9623062,IF12,5034281,IF12,66768643,IF12,1225691778,IF12,549413137,IF12,269666290,IF12,819079427,IF12,63015407,IF12,19380983,IF12,18022206,IF12,100418596,IF12,262017851,IF12,1181515874,IF12,81262363,IF12,34201911,IF12,678083,IF12,16432738,IF12,132575095,IF12,120209740,IF12,68912421,IF12,1355018,IF12,3671351,IF12,445337,IF12,4924875,IF12,8583,IF12,4003,IF12,180,IF12,4183,IF12,101246,IF12,2180544,IF12,163570057,IF12,23340954,IF12,21966469,IF12,231683802,IF12,92584113,IF12,4008528,IF12,3274286,IF12,289301,IF12,186585,IF12,30475,U_12,8627865,IF12,6261209,IF12,480660,U_12,20340,IF12,34243255,IF12,07/2011,R_12,06/2012,R_12,06,2013,08
CO,5094369,R_12,5059050,R_12,5118526,R_12,98,R_12,153,R_12,14,R_12,639.99,IF12,886.80,IF12,2119.82,IF12,3006.62,IF12,247424357,IF12,78563,IF12,1526389,IF12,14976232,IF12,264005541,IF12,120377953,IF12,35283545,IF12,155661498,IF12,15414935,IF12,7526208,IF12,9503058,IF12,32444201,IF12,55873559,IF12,243979258,IF12,9922425,IF12,164241,IF12,252670,IF12,1514095,IF12,11853431,IF12,34656777,IF12,11366952,IF12,622817,IF12,934905,IF12,322337,IF12,1249337,IF12,21637,IF12,1668,IF12,198,IF12,1866,IF12,24699,IF12,592357,IF12,32774319,IF12,4329429,IF12,3417947,IF12,66065031,IF12,22709089,IF12,738010,IF12,751853,IF12,89597,IF12,56689,IF12,6965,U_12,2265796,IF12,1596370,IF12,115520,U_12,5874,IF12,6884268,IF12,01/2012,R_12,12/2012,R_12,08,2013,07
CT,4365333,R_12,3574097,R_12,3574097,R_12,194,R_12,46,R_12,5,R_12,744.60,IF12,1075.44,IF12,1271.93,IF12,2347.37,IF12,166619787,IF12,1473269,IF12,534163,IF12,23116354,IF12,191743573,IF12,113384631,IF12,31128056,IF12,144512687,IF12,12695922,IF12,3373250,IF12,3376621,IF12,19445793,IF12,33944298,IF12,197902778,IF12,10356327,IF12,2141031,IF12,41065,IF12,2048542,IF12,14586965,IF12,15172426,IF12,15385665,IF12,760615,IF12,846294,IF12,899620,IF12,1083878,IF12,3586,IF12,1537,IF12,5257,IF12,6794,IF12,24511,IF12,543720,IF12,24404598,IF12,3890359,IF12,1779083,IF12,34086955,IF12,11767643,IF12,922374,IF12,920671,IF12,91472,IF12,55932,IF12,6308,U_12,1957413,IF12,1237230,IF12,94861,U_12,4353,IF12,5247243,IF12,07/2011,R_12,06/2012,R_12,09,2013,01
DC,632323,R_12,632323,R_12,632323,R_12,1,R_12,24,R_12,0,R_12,127.00,R_12,127.00,R_12,290.70,R_12,417.70,R_12,35309428,R_12,0,R_12,1293594,R_12,445640,R_12,37048662,R_12,23490289,R_12,5089725,R_12,28580014,R_12,1216837,R_12,550000,R_12,475500,R_12,2242337,R_12,6150073,R_12,36972424,R_12,12823656,R_12,0,R_12,0,R_12,0,R_12,12823656,R_12,27570158,R_12,1334479,R_12,19516,R_12,84299,R_12,11418,R_12,131521,R_12,2500,R_12,58,R_12,0,R_12,58,R_12,1946,R_12,62712,R_12,2546796,IA12,919789,IA12,321544,R_12,3363313,R_12,1087107,R_12,10,R_12,174,R_12,9560,R_12,5969,R_12,1043,R_12,259320,R_12,189412,R_12,12956,R_12,900,R_12,806207,R_12,10/2011,R_12,09/2012,R_12,11,2013,02
DE,897934,R_12,897934,R_12,897934,R_12,19,R_12,13,R_12,2,R_12,62.60,R_12,126.44,R_12,195.82,R_12,322.26,R_12,18719428,R_12,3889706,R_12,0,R_12,1217526,R_12,23826660,R_12,12729207,R_12,4204496,R_12,16933703,R_12,1902463,R_12,534218,R_12,180552,R_12,2617233,R_12,5190955,R_12,24741891,R_12,2700763,R_12,6638056,R_12,0,R_12,4028826,R_12,13367645,R_12,2653398,R_12,1697047,R_12,320921,R_12,122363,R_12,104488,R_12,168177,R_12,0,R_12,63,R_12,735,R_12,798,R_12,6978,R_12,80813,R_12,4561619,R_12,463903,IF12,417768,R_12,6283400,R_12,1933658,R_12,453344,R_12,570205,R_12,11563,R_12,6167,R_12,866,R_12,235326,R_12,165960,R_12,14055,R_12,576,R_12,840624,R_12,07/2011,R_12,06/2012,R_12,10,2013,02
FL,19337915,R_12,19031381,R_12,19074434,R_12,57,R_12,470,R_12,27,R_12,1713.02,IF12,1997.81,IF12,4181.28,IF12,6179.09,IF12,450445215,IF12,22381522,IF12,2071187,IF12,22904307,IF12,497802231,IF12,226280558,IF12,76004044,IF12,302284602,IF12,37542263,IF12,12212811,IF12,9842345,IF12,59597419,IF12,139199327,IF12,501081343,IF12,28071766,R_12,104541,R_12,57600,R_12,1187846,R_12,29421753,R_12,43448641,R_12,32480784,IF12,1394066,IF12,2128807,IF12,869950,IF12,3395248,IF12,38150,IF12,1325,IF12,4102,IF12,5427,R_12,52958,IF12,1253378,IF12,82460245,IF12,30948863,IF12,10208157,IF12,126432886,IF12,36821538,IF12,117916,IF12,134746,IF12,185800,IF12,87578,IF12,15081,R_12,3993671,IF12,2450386,IF12,246541,R_12,15735,IF12,19606796,IF12,10/2011,R_12,09/2012,R_12,12,2013,05
