STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LO_OT,F_DB_L_O,DB_ST,F_DB_ST,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
AK,652860,R_13,652860,R_13,736399,R_13,84,R_13,16,R_13,1,R_13,60.51,R_13,109.47,R_13,204.24,R_13,313.71,R_13,31146025,R_13,724882,R_13,1432549,R_13,2946130,R_13,36249586,R_13,14592742,R_13,8994731,R_13,23587473,R_13,2099272,R_13,395311,R_13,570255,R_13,3064838,R_13,9238344,R_13,35890655,R_13,2219707,R_13,20746669,R_13,507104,R_13,698516,R_13,24171996,R_13,36222524,R_13,2439730,R_13,358779,R_13,111945,R_13,290639,R_13,262664,R_13,176,R_13,685,R_13,4116,R_13,4801,R_13,5133,R_13,151471,R_13,3376309,R_13,410084,R_13,336841,R_13,4625365,R_13,1753837,IF13,192174,R_13,20367,R_13,17095,R_13,11554,R_13,7955,R_13,1294,R_13,261848,R_13,192403,R_13,19432,R_13,904,R_13,795120,R_13,01/2012,R_13,06/2013,R_13,02,2014,08
AL,4802740,R_13,4802740,R_13,4802740,R_13,221,R_13,75,R_13,13,R_13,314.88,R_13,759.96,R_13,1011.40,R_13,1771.36,R_13,86202879,R_13,4783692,R_13,1029138,R_13,8866206,R_13,100881915,R_13,53483277,R_13,13662333,R_13,67145610,R_13,6413176,R_13,1443638,R_13,2662219,R_13,10519033,R_13,20472764,R_13,98137407,R_13,2504677,R_13,0,R_13,322763,R_13,4002461,R_13,6829901,R_13,7947146,R_13,9723150,R_13,1776750,IF13,466888,R_13,333772,IF13,618288,R_13,3506,IF13,951,R_13,15592,R_13,16543,R_13,9444,IF13,621630,R_13,16617640,IF13,4544117,IF13,2754535,R_13,20873534,R_13,6447624,R_13,1637385,IF13,418298,IF13,413938,R_13,39539,R_13,20969,R_13,3697,U_13,1015959,R_13,682471,R_13,64289,U_13,5264,IF13,4757239,IF13,10/2012,R_13,09/2013,R_13,01,2014,05
AR,2791901,R_13,2643928,R_13,2915918,R_13,53,R_13,164,R_13,1,R_13,139.38,IF13,264.28,IF13,718.39,IF13,982.67,IF13,61755127,IF13,5262565,IF13,116079,IF13,4438695,IF13,71572466,IF13,32408337,IF13,9609641,IF13,42017978,IF13,5868994,IF13,2083662,IF13,1896265,IF13,9848921,IF13,17057182,IF13,68924081,IF13,8997561,IF13,122334,IF13,0,IF13,934069,IF13,10053964,IF13,10759477,IF13,6578816,IF13,331532,IF13,236807,IF13,116957,IF13,401597,IF13,1922,IF13,600,IF13,2984,IF13,3584,IF13,8977,IF13,429331,IF13,10574105,IF13,2427287,IF13,1503721,IF13,14431248,IF13,3426425,IF13,-1,IA13,26073,IF13,27590,IF13,32238,IF13,19875,IF13,4272,U_13,899329,IF13,642273,IF13,80980,U_13,2376,IF13,2128528,IF13,01/2013,R_13,12/2013,R_13,05,2014,05
AS,66692,R_13,65892,R_13,66692,R_13,1,R_13,1,R_13,0,R_13,1.00,R_13,8.00,R_13,3.00,R_13,11.00,R_13,0,R_13,365750,R_13,108000,R_13,15000,R_13,488750,R_13,278079,R_13,33585,R_13,311664,R_13,25573,R_13,20313,R_13,7852,R_13,53738,R_13,129056,R_13,494458,R_13,0,R_13,0,R_13,0,R_13,0,R_13,0,R_13,0,R_13,39890,R_13,0,R_13,895,R_13,0,R_13,290,R_13,0,R_13,0,R_13,2,R_13,2,R_13,2,R_13,2236,R_13,59264,R_13,1651,R_13,20843,R_13,25938,R_13,10068,R_13,-1,U_13,0,R_13,0,R_13,487,R_13,457,R_13,-1,U_13,6195,R_13,5924,R_13,-1,U_13,20,R_13,6687,R_13,10/2012,R_13,09/2013,R_13,60,2014,09
AZ,10370306,R_13,6581054,R_13,6581054,R_13,85,R_13,134,R_13,10,R_13,462.18,IF13,551.13,IF13,1533.85,IF13,2084.98,IF13,163880320,IF13,1555009,IF13,2054104,IF13,7193830,IF13,174683263,IF13,76545071,IF13,27777215,IF13,104322286,IF13,13284623,IF13,6240291,IF13,5746939,IF13,25271853,IF13,45124844,IF13,174718983,IF13,4960120,IF13,123564,IF13,0,IF13,192386,IF13,5276070,IF13,2436336,IF13,8446171,IF13,1076863,IF13,709980,IF13,526233,IF13,1085021,IF13,42440,IF13,1061,IF13,2366,R_13,3427,IF13,15202,IF13,483404,IF13,27606792,IF13,5599184,IF13,3376539,IF13,47617904,IF13,14607284,IF13,2683105,IF13,279933,IF13,309076,IF13,62018,IF13,33295,IF13,5303,R_13,1305936,IF13,957785,IF13,83293,U_13,5571,IF13,6907502,IF13,07/2012,R_13,06/2013,R_13,04,2014,06
CA,37966034,R_13,37966034,R_13,37966471,R_13,166,R_13,949,R_13,56,R_13,2946.97,IF13,3143.95,IF13,8216.48,IF13,11360.43,IF13,1194546331,IF13,14497004,IF13,4437552,IF13,64033777,IF13,1277514664,IF13,550183236,IF13,262827368,IF13,813010604,IF13,65924295,IF13,20232843,IF13,18165107,IF13,104322245,IF13,288669243,IF13,1206002092,IF13,60939542,IF13,3701033,IF13,1272439,IF13,5051142,IF13,70964156,IF13,159402395,IF13,67640760,IF13,1761806,IF13,3578060,IF13,545494,IF13,4997161,IF13,62949,IF13,3911,IF13,149,IF13,4060,IF13,101562,IF13,2201530,IF13,165501141,IF13,22995728,IF13,21596165,IF13,227597939,IF13,92399667,IF13,7537069,IF13,3381972,IF13,3409178,IF13,329631,IF13,211083,IF13,32009,U_13,8912356,IF13,6436861,IF13,518697,U_13,21030,IF13,34723633,IF13,07/2012,R_13,06/2013,R_13,06,2014,08
CO,5166948,R_13,5106749,R_13,5188683,R_13,97,R_13,155,R_13,13,R_13,610.25,R_13,864.73,R_13,2131.00,R_13,2995.73,R_13,259111301,R_13,1098831,R_13,944413,R_13,15516150,R_13,276670695,R_13,126638649,IF13,34710444,IF13,161349093,IF13,15979931,R_13,8195866,R_13,9731416,R_13,33907213,R_13,61154746,R_13,256411052,IF13,17887723,R_13,88356,R_13,6485,R_13,3249134,R_13,21231698,R_13,30495721,R_13,10823244,IF13,1228287,IF13,914182,R_13,408162,IF13,1275082,IF13,24284,IF13,2038,R_13,0,R_13,2038,R_13,21433,IF13,603480,R_13,32772334,IF13,4271507,IF13,3517109,R_13,65668877,IF13,22595002,IF13,3614215,IF13,853562,R_13,869817,R_13,98663,R_13,62293,R_13,8356,R_13,2441278,R_13,1810288,R_13,136509,R_13,6021,R_13,7003013,IF13,01/2013,R_13,12/2013,R_13,08,2014,07
CT,4374031,R_13,3590347,R_13,3590347,R_13,193,R_13,46,R_13,4,R_13,759.42,IF13,1108.24,IF13,1208.32,IF13,2316.56,IF13,170408243,IF13,1574377,IF13,542628,IF13,23407162,IF13,195932410,IF13,114233113,IF13,32764921,IF13,146998034,IF13,12710409,IF13,3405406,IF13,3239556,IF13,19355371,IF13,35991933,IF13,202345338,IF13,3155440,IF13,1753999,IF13,457000,IF13,1183530,IF13,6549969,IF13,7871895,IF13,15264395,IF13,1004857,IF13,838307,IF13,942502,IF13,1111449,IF13,6429,IF13,1602,IF13,5036,IF13,6638,IF13,23073,IF13,544395,IF13,23092578,IF13,3597675,IF13,1735150,IF13,32696879,IF13,11331697,IF13,696606,IF13,933856,IF13,926067,IF13,92671,IF13,54942,IF13,6552,U_13,1914093,IF13,1218054,IF13,99578,U_13,4371,IF13,4912738,IF13,07/2012,R_13,06/2013,R_13,09,2014,01
DC,632323,R_13,632323,R_13,632323,R_13,1,R_13,25,R_13,0,R_13,158.00,R_13,158.00,R_13,382.90,R_13,540.90,R_13,41582857,R_13,0,R_13,996121,R_13,429386,R_13,43008364,R_13,25058825,R_13,5535258,R_13,30594083,R_13,1945866,R_13,1300000,R_13,465000,R_13,3710866,R_13,8342035,R_13,42646984,R_13,23026976,R_13,0,R_13,0,R_13,0,R_13,23026976,R_13,16728489,R_13,1802305,R_13,80939,R_13,85940,R_13,13434,R_13,139453,R_13,471,R_13,77,R_13,0,R_13,77,R_13,2309,R_13,65208,R_13,2477389,IA13,870804,IA13,315737,R_13,3295485,R_13,1095519,R_13,287295,R_13,2,R_13,219,R_13,10520,R_13,6699,R_13,1293,R_13,264799,R_13,214484,R_13,12716,R_13,1000,R_13,855338,R_13,10/2012,R_13,09/2013,R_13,11,2014,02
DE,917060,R_13,917060,R_13,917060,R_13,19,R_13,13,R_13,2,R_13,62.14,R_13,115.55,R_13,214.38,R_13,329.93,R_13,19051605,R_13,3944742,R_13,12274,R_13,1369265,R_13,24377886,R_13,12276009,R_13,4227730,R_13,16503739,R_13,1802744,R_13,230090,R_13,607753,R_13,2640587,R_13,5160293,R_13,24304619,R_13,496140,R_13,6709099,R_13,0,R_13,4336317,R_13,11541556,R_13,12036436,R_13,1642391,R_13,263193,R_13,112897,R_13,27069,R_13,170415,R_13,0,R_13,51,R_13,735,R_13,786,R_13,4559,R_13,83385,R_13,3717974,R_13,354860,R_13,417577,R_13,6109223,R_13,1963086,R_13,158685,R_13,766329,R_13,734781,R_13,11403,R_13,5398,R_13,962,R_13,206522,R_13,122231,R_13,9148,R_13,714,R_13,638282,R_13,07/2012,R_13,06/2013,R_13,10,2014,02
