STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LO_OT,F_DB_L_O,DB_ST,F_DB_ST,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
AK,652274,R_14,652274,R_14,735601,R_14,85,R_14,16,R_14,1,R_14,58.81,R_14,112.53,R_14,190.51,R_14,303.04,R_14,32474960,R_14,1176158,R_14,1166883,R_14,3122020,R_14,37940021,R_14,13969263,R_14,9212580,R_14,23181843,R_14,2276916,R_14,488715,R_14,569660,R_14,3335291,R_14,9991895,R_14,36509029,R_14,4206200,R_14,20786393,R_14,500000,R_14,1289455,R_14,26782048,R_14,18337915,R_14,2434236,R_14,351606,R_14,116847,R_14,373121,R_14,277268,R_14,1181,R_14,695,R_14,4116,R_14,4811,R_14,5600,R_14,153410,R_14,3491307,R_14,392428,R_14,358089,R_14,4792662,R_14,1542743,IF14,264986,R_14,27745,R_14,28177,R_14,12803,R_14,8802,R_14,1528,R_14,279080,R_14,202322,R_14,25902,R_14,998,R_14,772129,R_14,479245,R_14,01/2013,R_14,06/2014,R_14,02,2015,08
AL,4822023,R_14,4822023,R_14,4822023,R_14,221,R_14,76,R_14,14,R_14,329.58,R_14,736.22,R_14,1080.88,R_14,1817.1,R_14,88056291,R_14,4736727,R_14,1081174,R_14,9247116,R_14,103121308,R_14,54292921,IF14,14390910,IF14,68683831,R_14,6505277,R_14,1413812,R_14,2701279,R_14,10620368,R_14,20658148,R_14,99962347,R_14,1835628,R_14,0,R_14,191962,R_14,1435752,R_14,3463342,R_14,4777481,R_14,9442086,R_14,2714815,IF14,450144,R_14,646206.21957672,IF14,620827,R_14,27411,IF14,974,R_14,12737,R_14,13711,R_14,8932,IF14,626821,R_14,17217402,IF14,4417062,IF14,2663716,R_14,20526321,R_14,6446717,R_14,2135785,IF14,427590,IF14,412054,IF14,42145,IF14,21685,R_14,4844,U_14,1053347,IF14,696970,R_14,77371,U_14,5302,IF14,4359414,IF14,15224387,IF14,10/2013,R_14,09/2014,R_14,01,2015,05
AR,2833849,R_14,2643928,R_14,2915918,R_14,54,R_14,179,R_14,2,R_14,142.01,IF14,286.4,IF14,767.09,IF14,1053.49,IF14,64665467,IF14,5495428,IF14,0,IF14,4633340,IF14,74794235,IF14,33653433,IF14,10389231,IF14,44042664,IF14,5533401,IF14,2023580,IF14,1895616,IF14,9452597,IF14,18375101,IF14,71870362,IF14,6288532,IF14,289274,IF14,0,IF14,611755,IF14,7189561,IF14,8489855,IF14,6304377,IF14,532433,IF14,230003,IF14,185583,IF14,401308,IF14,10028,IF14,563,IF14,3016,IF14,3579,IF14,10137,IF14,445052,IF14,10973629,IF14,2282111,IF14,1615238,IF14,14390348,IF14,3361119,IF14,1366838,IF14,28247,IF14,26991,IF14,34227,IF14,21081,IF14,4620,U_14,997901,IF14,712783,IF14,88721,U_14,2596,IF14,1970448,IF14,160450,IF14,01/2014,R_14,12/2014,R_14,05,2015,05
AS,61811,R_14,61241,R_14,61811,R_14,1,R_14,1,R_14,0,R_14,2,R_14,7,R_14,5,R_14,12,R_14,0,R_14,385000,R_14,85500,R_14,14000,R_14,484500,R_14,266881,R_14,42593,R_14,309474,R_14,29045,R_14,23366,R_14,10469,R_14,62880,R_14,147670,R_14,520024,R_14,0,R_14,0,R_14,0,R_14,0,R_14,0,R_14,0,R_14,40880,R_14,0,R_14,895,R_14,0,R_14,290,R_14,0,R_14,0,R_14,33,R_14,33,R_14,2,R_14,3680,R_14,70487,R_14,2119,R_14,14054,R_14,26191,R_14,9218,R_14,0,R_14,0,R_14,0,R_14,448,R_14,439,R_14,1,R_14,6999,R_14,6893,R_14,12,R_14,20,R_14,6295,R_14,0,R_14,10/2013,R_14,09/2014,R_14,60,2015,09
AZ,10501253,R_14,6667241,R_14,6667241,R_14,85,R_14,135,R_14,11,R_14,461.32,IF14,546.24,IF14,1485.28,IF14,2031.52,IF14,157746903,IF14,1611605,IF14,2029032,IF14,7024609,IF14,168412149,IF14,77164201,IF14,28609129,IF14,105773330,IF14,14556902,IF14,6231405,IF14,5788517,IF14,26576824,IF14,44262826,IF14,176612980,IF14,7588520,IF14,30000,IF14,55484,IF14,83500,IF14,7757504,IF14,3436844,IF14,8229850,IF14,1367378,IF14,689616,IF14,694223.167359949,IF14,1116663,IF14,6281,IF14,969,IF14,2430,R_14,3399,IF14,14239,IF14,482261,IF14,27609711,IF14,5754966,IF14,3118825,IF14,43672067,IF14,13265778,IF14,3280786,IF14,324668,IF14,367263,IF14,73875,IF14,37852,IF14,6702,R_14,1472963,IF14,1034731,IF14,109545,U_14,5593,IF14,8255038,IF14,5880952,IF14,07/2013,R_14,06/2014,R_14,04,2015,06
CA,38322887,R_14,38322887,R_14,38340074,R_14,167,R_14,950,R_14,53,R_14,2976.5,IF14,3209.71,IF14,8388.34,IF14,11598.05,IF14,1265099905,IF14,13614724,IF14,4633053,IF14,71630786,IF14,1354978468,IF14,565090291,IF14,281367947,IF14,846458238,IF14,68898041,IF14,24944727,IF14,18886309,IF14,112729077,IF14,326843919,IF14,1286031234,IF14,50568512,IF14,203848,IF14,74604,IF14,11337389,IF14,62184353,IF14,82960891,IF14,65409430,IF14,2978360,IF14,3530931,IF14,564568.105411644,IF14,5139201,IF14,135125,IF14,3947,IF14,116,IF14,4063,IF14,92902,IF14,2267921,IF14,164300175,IF14,23208453,IF14,21723648,IF14,222788583,IF14,92125557,IF14,10367341,IF14,3567561,IF14,3512390,IF14,342664,IF14,206627,IF14,33645,U_14,9491467,IF14,6909344,IF14,531379,U_14,21735,IF14,35000501,IF14,14252610,IF14,07/2013,R_14,06/2014,R_14,06,2015,08
CO,5238320,R_14,5177510,R_14,5264890,R_14,97,R_14,162,R_14,13,R_14,663.22,R_14,910.62,R_14,2340.11,R_14,3250.73,R_14,265575219,IF14,1233937,R_14,772338,R_14,16374433,R_14,283955927,IF14,129272590,IF14,36756147,IF14,166028737,IF14,16445553,IF14,9371697,IF14,9594308,IF14,35411558,IF14,61043834,IF14,262484129,IF14,10236392,R_14,42120,R_14,0,R_14,3663220,R_14,13941732,R_14,45987892,R_14,10316703,R_14,1390637,IF14,922877,R_14,522582.354609929,IF14,1344808,R_14,30485.679541002,IF14,2160,R_14,0,R_14,2160,R_14,25553,R_14,608043,R_14,32981666,IF14,4208956,IF14,3588616,IF14,64683932,IF14,22130016,IF14,5019199,IF14,786027,IF14,879725,IF14,106717,R_14,67253,R_14,9064,R_14,2647097,R_14,1799469,R_14,151930,R_14,6407,IF14,7395748,IF14,6234884,IF14,01/2014,R_14,12/2014,R_14,08,2015,07
CT,4374214,R_14,3596080,R_14,3596080,R_14,192,R_14,47,R_14,4,R_14,752.51,IF14,1074.91,IF14,1210.12,IF14,2285.03,IF14,168823962,IF14,1618933,IF14,330504,IF14,24624113,IF14,195397512,IF14,114615887,IF14,33333225,IF14,147949112,IF14,12363802,IF14,3577446,IF14,3217904,IF14,19159152,IF14,36150456,IF14,203258720,IF14,9834713,IF14,3037860,IF14,216618,IF14,9350986,IF14,22440177,IF14,26583582,IF14,14577630,IF14,1312468,IF14,826586,IF14,1025994,IF14,1122198,IF14,13481,IF14,1687,IF14,7606,IF14,9293,IF14,21268,IF14,551274,IF14,21972583,IF14,3494403,IF14,1647190,IF14,31081616,IF14,10896026,IF14,993703,IF14,934646,IF14,918765,IF14,95517,IF14,54737,IF14,7381,U_14,2003864,IF14,1226174,IF14,112501,U_14,4355,IF14,4465464,IF14,524318,IF14,07/2013,R_14,06/2014,R_14,09,2015,01
DC,658893,R_14,658893,R_14,658893,R_14,1,R_14,25,R_14,0,R_14,147,R_14,147,R_14,423,R_14,570,R_14,53095222,R_14,0,R_14,912671,R_14,180898,R_14,54188791,R_14,31828080,R_14,6851322,R_14,38679402,R_14,2000732,R_14,1340000,R_14,495000,R_14,3835732,R_14,11798205,R_14,54313339,R_14,12950000,R_14,0,R_14,0,R_14,0,R_14,12950000,R_14,10353699,R_14,1815540,R_14,177086,R_14,86416,R_14,16154,R_14,140667,R_14,804,R_14,74,R_14,0,R_14,74,R_14,2071,R_14,65208,R_14,4230790,R_14,921814,IA14,359371,R_14,3938767,R_14,1464871,R_14,715036,R_14,0,R_14,180,R_14,14357,R_14,8514,R_14,1566,R_14,284969,R_14,225815,R_14,15624,R_14,1000,R_14,1050623,R_14,-1,IA14,10/2013,R_14,09/2014,R_14,11,2015,02
DE,925244,R_14,925244,R_14,925244,R_14,19,R_14,13,R_14,2,R_14,63.58,R_14,121.72,R_14,208.31,R_14,330.03,R_14,19805621,R_14,3997939,R_14,2053,R_14,1861803,R_14,25667416,R_14,12628074,R_14,4724159,R_14,17352233,R_14,1797136,R_14,158409,R_14,635597,R_14,2591142,R_14,5049298,R_14,24992673,R_14,148240,R_14,3142715,R_14,0,R_14,1723942,R_14,5014897,R_14,10029794,R_14,1642715,R_14,415170,R_14,114600,R_14,53865,R_14,175643,R_14,0,R_14,54,R_14,651,R_14,705,R_14,4354,R_14,85420,R_14,3834672,R_14,405585,R_14,379791,R_14,6180769,R_14,2033292,R_14,247719,R_14,842407,R_14,816950,R_14,13056,R_14,5408,R_14,1197,R_14,256274,R_14,175335,R_14,17349,R_14,772,R_14,622515,R_14,139907,R_14,07/2013,R_14,06/2014,R_14,10,2015,02
